,make,model,variant,cc,seating_capacity,fuel_type,local_code
0,HONDA,CR-V,2.4 MT,2354,5,Petrol,12623
1,VOLKSWAGEN,AMEO,1.5L TDI MT COMFORTLINE PLUS,1498,5,Diesel,36811
2,FORD,FIGO,1.2 TITANIUM SPORTS PETROL,1196,5,Petrol,36819
3,LAMBORGHINI,AVENTADOR,S LP 740-4,6498,2,Petrol,37548
4,SKODA,RAPID,MONTE CARLO 1.6 MPI AT,1598,5,Petrol,37128
5,SKODA,OCTAVIA,STYLE AT 1.8 TSI,1798,5,Petrol,36998
6,BMW,3-SERIES,320D EDITION SPORT,1995,5,Diesel,37726
7,MARUTI,SWIFT,LDI (DIESEL),1248,5,Diesel,12792
8,GENERAL MOTORS,TAVERA,B2 8 SEATER,2499,8,Diesel,33273
9,TOYOTA MOTORS,TOYOTA RAV4,,1998,5,Petrol,26261
10,MARUTI,ALTO,K10 LX(O),998,5,Petrol,31670
11,BMW,3-SERIES,330i SPORT LINE,1998,5,Petrol,36720
12,MERCEDES-BENZ.,GLE,43 4MATIC AMG COUPE,2996,5,Diesel,36805
13,TOYOTA KIRLOSKAR,LAND CRUISER,200 VX,4461,8,Diesel,33330
14,MERCEDES-BENZ.,E-CLASS,E 220 D,1950,5,Diesel,36669
15,MARUTI,ERTIGA,ZDI PLUS SHVS,1248,7,Diesel,31678
16,MARUTI,BALENO HATCHBACK,Zeta 1.3,1248,5,Diesel,30561
17,BMW,5 SERIES,523I,2497,5,Petrol,32582
18,GENERAL MOTORS,TAVERA,NEO 3 LT 9 Seats,2499,9,Diesel,33286
19,AUDI,AUDI A3 CABRIOLET,1.4 TFSI,1395,4,Petrol,37206
20,MERCEDES-BENZ.,AMG,GT R,3982,2,Petrol,37209
21,MERCEDES-BENZ.,AMG,GT ROADSTER,3982,2,Petrol,37208
22,JEEP,GRAND CHEROKEE,LIMITED PETROL,3604,5,Petrol,37431
23,BMW,6-SERIES,640 D GRAN COUPE 5 STR,2993,5,Diesel,37398
24,FORD,ECOSPORT,1.0 PLATINUM EDITION PETROL,999,5,Petrol,35957
25,ISUZU,D MAX,S-CAB,2499,5,Diesel,36885
26,MARUTI,BALENO HATCHBACK,Delta 1.2,1197,5,Petrol,30557
27,VOLKSWAGEN,VENTO,1.2 TSI HIGHLINE PLUS AT,1197,5,Petrol,36297
28,BMW,X3,xDRIVE 30D,2993,5,Diesel,23059
29,MERCEDES-BENZ.,GLC,220 D 4MATIC SPORT,2143,5,Diesel,36975
30,SKODA,RAPID,AMBITION 1.6 MPI AT PLUS,1598,5,Petrol,36490
31,MARUTI,ZEN ESTILO,GREEN LX BSIV,998,5,CNG,36319
32,TATA MOTORS LTD,TIAGO,WIZZ EDITION PETROL,1199,5,Petrol,37291
33,BMW,5 SERIES,535I,2979,5,Petrol,32580
34,BMW,X3,3.0 Si,2987,5,Petrol,33311
35,MARUTI,SWIFT DZIRE,ZDI,1248,5,Diesel,12803
36,MARUTI,DZIRE,LXI TOUR,1197,5,Petrol,37176
37,MARUTI,ALTO 800,DX,796,5,Petrol,31692
38,MARUTI,CIAZ,DELTA 1.4 MT,1373,5,Petrol,36253
39,BMW,X3,xDRIVE 20D M SPORT,1995,5,Diesel,37522
40,MARUTI,ALTO,K10 LX,998,5,Petrol,31671
41,MARUTI,CELERIO,LXI AGS (O),998,5,Petrol,31683
42,GENERAL MOTORS,TAVERA,NEO 3 LT 8 Seats,2499,8,Diesel,33288
43,MARUTI,CIAZ,SMART HYBRID SIGMA,1248,5,Diesel,36708
44,JEEP,WRANGLER,UNLIMITED 2.8,2799,5,Diesel,33658
45,MINI,COUNTRYMAN,COOPER S JCW INSPIRED,1998,5,Petrol,38881
46,TOYOTA KIRLOSKAR,ETIOS LIVA,V DUAL TONE,1197,5,Petrol,38886
47,FORD,ECOSPORT,TITANIUM PLUS 1.5 Ti-VCT AT,1497,5,Petrol,37584
48,AUDI,TT COUPE,TT COUPE,3189,4,Petrol,32603
49,GENERAL MOTORS,TAVERA,NY ELITE LT L2 8 SEATER,2499,8,Diesel,33272
50,TOYOTA KIRLOSKAR,LAND CRUISER,,4500,5,Diesel,20525
51,MARUTI,ZEN,3 DOOR,993,5,Petrol,31673
52,MARUTI,ZEN,CLASSIC,993,5,Petrol,31674
53,VOLKSWAGEN,PASSAT,HIGHLINE,1968,5,Diesel,37387
54,TOYOTA KIRLOSKAR,LEXUS LX,450 D,4461,5,Diesel,36172
55,TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 TERRA 1.2 SAFIRE,1172,5,Petrol,20082
56,TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 AQUA 1.2 SAFIRE,1172,5,Petrol,20083
57,TATA MOTORS LTD,INDICA VISTA,AURA ABS 1.2 SAFIRE,1172,5,Petrol,19022
58,TATA MOTORS LTD,INDICA VISTA,LE SAFIRE,1172,5,Petrol,18921
59,TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 AURA 1.2 SAFIRE,1172,5,Petrol,20084
60,TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 AURA ABS 1.2 SAFIRE,1172,5,Petrol,20085
61,TATA MOTORS LTD,INDICA VISTA,TERRA 1.2 SAFIRE,1172,5,Petrol,12950
62,TATA MOTORS LTD,INDICA VISTA,AURA PLUS 1.2 SAFIRE,1172,5,Petrol,19025
63,MARUTI,ERTIGA,LXI (O),1373,7,Petrol,31677
64,MARUTI,RITZ,ELATE VXI,1197,5,Petrol,32687
65,MARUTI,GYPSY,KING SOFT TOP,1298,5,Petrol,32713
66,FORD,IKON,1.6 ZXI CNG,1597,5,CNG,32994
67,EICHER POLARIS PVT LTD,MULTIX,AX PLUS,511,5,Diesel,32065
68,TOYOTA KIRLOSKAR,LAND CRUISER,200 VX STANDARD AT,4461,8,Diesel,33131
69,TATA MOTORS LTD,INDIGO ECS,LS,1396,5,Diesel,25782
70,TATA MOTORS LTD,VENTURE,EX,1405,7,Diesel,21363
71,TATA MOTORS LTD,ZEST,XT REVOTRON 90PS PETROL,1193,5,Petrol,28485
72,VOLKSWAGEN,TIGUAN,HIGHLINE TDI,1968,5,Diesel,36533
73,MARUTI,IGNIS,ALPHA PETROL,1197,5,Petrol,35642
74,TOYOTA KIRLOSKAR,LAND CRUISER,200 V8,4461,7,Diesel,33130
75,ISUZU,MU X,4X4 AT,2999,7,Diesel,36673
76,GENERAL MOTORS,TAVERA,NEO 3 Max 10 Seats,2499,10,Diesel,33289
77,GENERAL MOTORS,TAVERA,NEO 3 LS 7 Seats,2499,7,Diesel,33290
78,VOLKSWAGEN,VENTO,TRENDLINE MPI,1598,5,Petrol,21699
79,BMW,5-SERIES,530i SPORT LINE,1998,5,Petrol,37084
80,MERCEDES-BENZ.,GLE,400 4MATIC,2996,5,Petrol,36682
81,BMW,3-SERIES,330i GT LUXURY LINE,1998,5,Petrol,36719
82,MARUTI,ZEN ESTILO,LXI CNG,998,5,CNG,20755
83,MARUTI,ZEN ESTILO,CNG,1061,5,CNG,32721
84,MARUTI,WAGON R,MINOR VXI PLUS,998,5,Petrol,35704
